"","course_ids","created","id","professor_ids","review_text","workload_text","department_ids","name","number"
"1","1616","Thu, 30 Oct 2014 19:51:46 GMT","41449","1474","The class moves pretty slowly for a 4000 level CS class and covers the qualitative components of Computer Science (planning, group dynamics, etc). Don't let the name fool you, there is nothing ""advanced"" about this course. It is interesting that we get to work on a project of our choosing over the course of the semester, but the amount of documentation we have to provide beforehand is a little infuriating. You end up spending 3x more time writing out requirements, risk, etc than writing code. 

You will probably have to take this class because it is required for Software Systems, and let me say that this is not a ""bad"" class. You still learn concepts like design patterns, but ultimately you will learn MUCH more if you take a class like Operating Systems or Computer Networks. ","Medium (bunch of periodic group assignments that don't take too long)","7","Advanced Software Engineering","COMS W4156"
"2","1616","Wed, 22 Jan 2003 00:00:00 GMT","4560","1474","Professor Kaiser is interested in her material and works hard at getting it across to her students.  The only thing is that she isn't the best at instructing students how to code within the complex component frameworks introduced in this course.  However, teams of students have freedom to choose a project of their liking, which is definitely preferred over a forced project such as Robot Wars or some ridiculous role playing game with clients, servers, and bots.  With the freedom to choose a project comes the desire to code the project.  Gail follows up with the teams throughout the semester, giving feedback and ensuring that the students pick up on the material, and I've been more enthusiastic about this class than I had been with others within the CompSci department.  Don't be afraid of her first class when she tries to scare you off; you'll learn a lot, you'll learn how to document the software-development process, and if you work at your project, you'll walk out of the class knowing a great deal.","Team project with three iterations, as well as a take home midterm and take home final, both about the project's development and concepts discussed in class (and mentioned in the book)","7","Advanced Software Engineering","COMS W4156"
"3","1616","Thu, 23 Dec 2010 19:24:19 GMT","25162","1474","I would not recommend this course unless a) you really want to be a software engineer and have no prior experience or b) absolutely need it to graduate.  It's mostly busywork and stuff that you can learn in a decent summer internship at a software company (if you want to go into software).

That being said, Gail is a wonderful person, and is very kind and understanding.  However, her lectures tend to be very dry and not very helpful, and the course materials aren't any better.  The course skims over component model frameworks, software testing and various software quality assurance techniques, but doesn't really go deep enough to make things useful.  Most of these topics are covered briefly in lecture, and then exercised in a group project where they become a passing thought when completing your documentation.  By the end, you'll learn that you should do 'xx' and 'yy' if you're working in the software industry on a big project, but will be unsure as to what exactly qualifies as 'xx' or 'yy'. 
","Take home midterm and final, three easy homeworks in the beginning of the semester, and one semester long group project.  The group project is very hit or miss depending on your group (I chose poorly).  Oh and five to six pop quizzes that really just check if you're sitting in lecture and still awake (it's hard sometimes...).","7","Advanced Software Engineering","COMS W4156"
"4","1616","Thu, 06 Nov 2014 15:42:09 GMT","45002","1474","Overall, I recommend not taking this course.

The ideas behind this course are simple: think in terms of the customer and plan your project accordingly. Unfortunately, a lot of the documentation we do is not really meaningful, and the pace of the class could be faster. We spend several weeks on design patterns, and another several weeks on ""bug testing"", which is stuff you pretty much already know. 

If you want to challenge yourself on your road to becoming a fully-fledged Computer Scientist, don't take this class. If you are looking for an easy course to take on the side, while knocking out your tech electives, you might consider ASE. This class is not really ""Advanced Software Engineering"", it should be called ""Software Project Planning for Enterprise"". 

The midterm reflected the course. It was pretty easy, with just definitions and written explanations of concepts. But at the end of the day, how much did you learn compared to a class like OS or Algorithms?","Bi-weekly assignments for the first two months with documentation for your project and other scenarios
Semester project using a web framework (Django, Rails, etc.)","7","Advanced Software Engineering","COMS W4156"
"5","1616","Thu, 12 Dec 2013 04:59:57 GMT","28841","1474","I recommend _not_ taking this course. 70% of the work is document writing, drawing graphs, and typing stuff into JIRA, not difficult, but very tedious and boring. You do surprisingly little coding, which is ironic for a ""software engineering"" course. Writing ""cool"" software won't score you more points in the class. If you absolutely must take this course, do not be ambitious about the projected you will create. You won't receive extra points because your project is ""cool"" or ""harder."" Most of your grade hangs on the writing/documentation you do -- and you will spend more time on this than anyone would want to. So make your software easy to document and easy to test. You really only spend a month or two working on it, the rest is over-excessive planning you don't end up following anyway.

The midterm and final will have you writing so much stuff! The first of the three questions test you on vocabulary (!) terms from the lectures/book. The second one is short answers. The last one asks you to come up with designs for proposed software and ask you to write more than what most people can do in the given time. If you take this course, do the test backwards. Almost everything in the course is pedestrian stuff you know already: unit tests, version control, software testing, etc. The other stuff you might not have heard of, UML diagrams, burn-down charts, and spike testing, etc, are not complicated at all, and can easily be learned from the textbook. (http://www.amazon.com/Head-First-Software-Development-Pilone/dp/0596527357). In undergrad, I went to a much less prestigious school than Columbia, and I never had a course this boring, simple, and tedious. I was really in for a surprise.

The redeeming feature of the course is that the teacher an the TAs (the one's we had) were all nice people. (not necessarily easy graders though!) The textbook is actually read from cover to cover and is actually affordable. However, you shouldn't take a course just because the textbook is cheap and the teacher is nice.

I was initially attracted to this course because I thought I would spend most of the time coding a cool project. I ignored the negative reviews. I regret it. Don't make the same mistake.","Complexity is extremely easy, but the tediousness of it made the workload medium.","7","Advanced Software Engineering","COMS W4156"
"6","1921","Sun, 11 May 2014 21:31:54 GMT","29449","4057","If you find Itshack Pe'er teaching Machine Learning, avoid it, unless you know most concepts of ML in advance. 

Weekly assignments wasted most students hours and hours without any progress. The wording of assignment was very vague. To make situation worse the TAs were constantly unresponsive so you can't get clarification in time (and after the midterm they closed Piazza). 
The two quizzes, contained T/F questions, suffered same vagueness. 
The midterm question is interesting and good. although the grading of midterm is not very fair. it was OK. 
I have not taken the final exam yet, but the mock final seemed completely different to assignments and quizzes, to the extend that you might think it was for another course. ","weekly assignment (not easy!) + 2 quizzes (with 1 page cheat sheet) + 1 final + 1 mid","7","Machine Learning","COMS W4771"
"7","1921","Sun, 22 Jun 2014 02:09:32 GMT","29645","4057","Pros: I thought the assignments were good, but super time consuming and there was one every week, that will squeeze all the time out of you, but in a way you learn.

Midterm fair and final was ok. Grading was reasonable.

Cons:
The worst classroom delivery I have ever seen in my entire life including school anywhere. Machine learning is no doubt fascinating but does require some foundation, but his classroom delivery is some of the worst I have ever seen, stammering, stuttering, is ok for CS 101, in a community college but totally unacceptable for a graduate level course in such a esteemed institution where the pay for professors is high and the fees are exorbitant.

On top of his inaudible and cringe inducing voice the material is complex but no doubt interesting. Professor needs to desperately address this and take a look at videos of himself on how to improve for future classes or otherwise just stay a researcher and not lecture.

Just look at the how well Andrew Ng did his course in Coursera on Machine Learning.

Because of the above it felt a waste of the money we spend on course here. I think Jebara would be much better, understandable and you would feel your moneys worth.

But if you can bear and listen to him maybe the course is made for you.
","Pretty tough but fair I thought for the scope of this course.","7","Machine Learning","COMS W4771"
"8","1921","Thu, 22 May 2014 00:32:05 GMT","29522","4057","Prof. Pe'er is really well-intentioned, and it's clear that he cares a lot about his students. I took a lot away from this class, even though it was a struggle. That said, DO NOT take this class if you're not remotely interested in machine learning - it's _not_ worth it. There are several other breadth/AI track courses that are (possibly) more interesting. If you _are_ interested in the subject, however, I'd definitely recommend taking this class with him instead of with Prof. Jebara. 

1) Teaching: If you have trouble staying awake in classes where professors speak really slowly/if you've ever been in one of the Mudd classrooms and know how boring they are, BRING COFFEE/TEA/anything that keeps you awake. Prof. Pe'er speaks really slowly, so much so that when you play his lectures at 1.5x speeds (they're all on CVN, which is great), it sounds like most people speaking at a normal pace. 
2) The material: While the class is very math-heavy (as are most courses on machine learning), Prof. Pe'er is very generous with his use of examples to provide better intuitions for the concepts/algorithms covered, and even tries to do live demonstrations to help make the math clearer. Some lectures and topics have a very steep learning curve even if you have the prerequisites covered, but I learned a tremendous amount from this class and I don't think I would have gotten that much from Prof. Jebara's far more theoretical approach. 
3) Homework: The homework is time consuming, not because each individual assignment is long, but because there are assignments EVERY WEEK. The assignments are hard, so starting in advance is essential (which means you're usually working on ML assignments 4 days a week at least), and responses on Piazza from the TAs are erratic and come in waves, so they're not reliable. Prof. Pe'er does allow group work with some constraints, so that usually makes working on assignments easier. But START EARLY. The assignments are also usually vaguely worded, which was a pain to deal with.
4) The tests: This was the most confusing part of the class. I think Prof. Pe'er experimented with a lot of testing styles because it was his first time teaching this class. (Either that, or he always throws 4 different testing styles at his students in all his other classes too because he thinks it builds character.) 
- Quizzes: multiple choice, where any number of choices could be true or false, and you lost points for either answering wrong or not answering at all. (So really, you had a 50% chance of getting it right anyway..) The questions on the quiz were theoretical and just requierd you to know the concepts, and some involved doing some basic calculations/inferences.
- Midterm: Easily the best test in this class. It was take-home and entirely programming, with 50% of the grade going towards an explanation of your approach. I think the grading was pretty fair - you got graded on the performance of your approach for the programming part, and the quality of your approach for the explanation. Very straightforward and doable in the 4 day timeframe given.
- Final: This came out of nowhere - the questions on the final ranged from proofs to algorithm creation to calculations - basically a very, very difficult exam. He gave us a practice final that, as it turned out, exactly resembled the actual final, but it still gave us no way to prepare, given that all the testing methods we'd had before were so different. It was almost impossibly long (though challenging and very interesting, required you to actually apply knowledge to real-world problems).

5) The curve: VERY generous curve. Another reason to definitely take this class with him and not Prof. Jebara. I think he really recognizes how hard he makes the class (in terms of workload, learning curve, difficulty of final) and curves to a high-ish B+. A large percentage of the class got A-range grades. 

Again, this is a professor who really cares about his students and the effort they put in, and isn't just looking to make this class frustrating and impossible. In general, he's very very responsive to feedback, even takes reasonable requests for class-wide extensions, and always tries really hard to make sure ever single student understands. I haven't had many 4000-level classes where that's the case, so this was refreshing. The class is still extremely frustrating, but ultimately rewarding if you like the material and put a lot of effort into the work.","Homework: 10 assignments (1 really simple setup assignment which includes a small Matlab script), 1 per week, all in Matlab  (25%)
Midterm: Programming with an explanation of approach (25%)
Quizzes: Two (a few weeks before and after the midterm) - multiple choice with any number of true/false options, theoretical (20% total)
Final: Impossibly long and very challenging final with lots of application- and theory- based questions. (30%)","7","Machine Learning","COMS W4771"
"9","1921","Tue, 27 May 2014 16:42:24 GMT","29586","4057","Machine Learning by Prof. Pe'er was an excellent class. The course was well structured, however the course load was pretty heavy. Nonetheless, the assignments and mid-term made you learn a lot. 

cons :-
1. The problem explanation in the assignments were vague at times. The TA's were irresponsive most of the times, thus most of the times went struggling with the problem statements.
2. It was difficult to follow prof in class, but hey, the lectures were recorded on CVN!

pros :-
1. The prof was very approachable and cared for his class.
2. He atleast tried to make sure that everyone gets the concepts right.

In a gist, i'd recommend this class to anyone who wants to learn machine learning in a way such that the intuition and math behind the concepts is both clear.
","~12 assignments(weekly) + 2 quizzes + midterm(take home, was sheer fun) + final(impossible)","7","Machine Learning","COMS W4771"
"10","1921","Tue, 03 Jun 2014 18:42:58 GMT","29610","4057","Machine Learning is a fascinating subject and is clearly a very valuable subject to know about. However, our class was very unfortunate to have been taught by Professor Pe'er. He is by far the worst professor I've ever had in my academic experience. To add insult to injury, he is very unapologetic about the way he manages things and treats his students unfairly. 

Assignments:
Every assignment included grammatical errors and unintelligible sentences in addition to mistakes in the problem descriptions. As a result, 1-2 day assignment would turn into a week-long affair. Future assignments are also based on answers to previous ones even though the class was not given the solution to the previous assignment. As a result, students who might have had incorrect answers in the previous assignment would unknowingly have errors in the next assignment.

Misinformation:
Professor Pe'er likes to portray himself as a fair individual but time and time again did he prove us wrong. Our first quiz was multiple choice test where correct answers were given 3 points and incorrect negative 2. However, the class was not told that leaving answers blank would result in negative marks too. Another example of this kind of behavior was demonstrated when he ran a poll to decide whether assignments should be due on a Friday or Wednesday. >80% of students who voted, voted for Friday yet the Professor appeared to have conveniently forgotten to tell the class that over 60% of the entire class needed to participate in the poll for it to be deemed valid. Something he decided to tell us after the fact. 

Sadly there are many more examples of this kind of behavior which is simply unprofessional. 

I can't speak to how Prof Jebara might teach this class and whether it's any better. But my main advice would be to stay away from Prof Pe'er, simply because you'll waste more time clearing up any confusions than being able to dedicate time to the actual subject.

 ","Weekly assignments - mostly time-consuming due to the fact that they had mistakes in them
2 Quizzes
Take home mid-term
In-class final ","7","Machine Learning","COMS W4771"
